ano,mes,id,nome,desc,categoria,valor,pdf_url
2018,3,82,Ana Maria Pereira Hora (Ana Hora),"Reuniões, eventos e seminários",Eventos,1267.66,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/11795585941550063252___DECLAR%C3%87%C3%83O%20VEREADORA%20ANAHORA%20032018.pdf
2018,3,82,Ana Maria Pereira Hora (Ana Hora),Alimentação do parlamentar e assessores,Alimentação,393.44,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/11795585941550063252___DECLAR%C3%87%C3%83O%20VEREADORA%20ANAHORA%20032018.pdf
2018,3,82,Ana Maria Pereira Hora (Ana Hora),Serviços jurídicos,Consultoria,3500,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/11795585941550063252___DECLAR%C3%87%C3%83O%20VEREADORA%20ANAHORA%20032018.pdf
2018,3,82,Ana Maria Pereira Hora (Ana Hora),Materiais de expediente e consumo,Escritório,102,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/11795585941550063252___DECLAR%C3%87%C3%83O%20VEREADORA%20ANAHORA%20032018.pdf
2018,4,82,Ana Maria Pereira Hora (Ana Hora),Veiculação de propaganda e publicidade,Divulgação,1500,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/19761877181544306984___ABRIL.pdf
2018,4,82,Ana Maria Pereira Hora (Ana Hora),Alimentação do parlamentar e assessores,Alimentação,573.48,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/19761877181544306984___ABRIL.pdf
2018,4,82,Ana Maria Pereira Hora (Ana Hora),Serviços contábeis,Consultoria,3500,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/19761877181544306984___ABRIL.pdf
2018,4,82,Ana Maria Pereira Hora (Ana Hora),Serviço de jornalista/marketing,Divulgação,4500,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/19761877181544306984___ABRIL.pdf
2018,4,82,Ana Maria Pereira Hora (Ana Hora),Materiais de expediente e consumo,Escritório,69.03,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/19761877181544306984___ABRIL.pdf
2018,5,82,Ana Maria Pereira Hora (Ana Hora),"Produção de áudio e vídeo para rádio, jornal, TV e portal de internet",Divulgação,4000,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/10520009611544307185___MAIO.pdf
2018,5,82,Ana Maria Pereira Hora (Ana Hora),Filmagens e fotografias,Divulgação,3200,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/10520009611544307185___MAIO.pdf
2018,5,82,Ana Maria Pereira Hora (Ana Hora),Alimentação do parlamentar e assessores,Alimentação,729.05,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/10520009611544307185___MAIO.pdf
2018,6,82,Ana Maria Pereira Hora (Ana Hora),Veiculação de propaganda e publicidade,Divulgação,4000,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/8527451341544307116___JUNHO.pdf
2018,6,82,Ana Maria Pereira Hora (Ana Hora),Alimentação do parlamentar e assessores,Alimentação,1375.99,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/8527451341544307116___JUNHO.pdf
2018,6,82,Ana Maria Pereira Hora (Ana Hora),Serviços contábeis,Consultoria,4000,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/8527451341544307116___JUNHO.pdf
2018,6,82,Ana Maria Pereira Hora (Ana Hora),Materiais de expediente e consumo,Escritório,33,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/8527451341544307116___JUNHO.pdf
2018,6,82,Ana Maria Pereira Hora (Ana Hora),"Reuniões, eventos e seminários",Eventos,350,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/8527451341544307116___JUNHO.pdf
2018,7,82,Ana Maria Pereira Hora (Ana Hora),"Produção de áudio e vídeo para rádio, jornal, TV e portal de internet",Divulgação,1500,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/5025086671544307060___JULHO.pdf
2018,7,82,Ana Maria Pereira Hora (Ana Hora),"Reuniões, eventos e seminários",Eventos,1541.34,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/5025086671544307060___JULHO.pdf
2018,7,82,Ana Maria Pereira Hora (Ana Hora),Alimentação do parlamentar e assessores,Alimentação,1869.55,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/5025086671544307060___JULHO.pdf
2018,7,82,Ana Maria Pereira Hora (Ana Hora),Serviços jurídicos,Consultoria,4000,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/5025086671544307060___JULHO.pdf
2018,7,82,Ana Maria Pereira Hora (Ana Hora),Serviço de jornalista/marketing,Divulgação,4000,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/5025086671544307060___JULHO.pdf
2018,8,82,Ana Maria Pereira Hora (Ana Hora),"Reuniões, eventos e seminários",Eventos,3800,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/3324611901545833745___Agosto.pdf
2018,8,82,Ana Maria Pereira Hora (Ana Hora),Alimentação do parlamentar e assessores,Alimentação,1891.59,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/3324611901545833745___Agosto.pdf
2018,8,82,Ana Maria Pereira Hora (Ana Hora),Serviços prestados de elaboração de projetos,Consultoria,2000,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/3324611901545833745___Agosto.pdf
2018,9,82,Ana Maria Pereira Hora (Ana Hora),Filmagens e fotografias,Divulgação,3200,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/21094904091544307294___SETEMBRO.pdf
2018,9,82,Ana Maria Pereira Hora (Ana Hora),"Reuniões, eventos e seminários",Eventos,280,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/21094904091544307294___SETEMBRO.pdf
2018,9,82,Ana Maria Pereira Hora (Ana Hora),Alimentação do parlamentar e assessores,Alimentação,1419,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/21094904091544307294___SETEMBRO.pdf
2018,9,82,Ana Maria Pereira Hora (Ana Hora),Serviços jurídicos,Consultoria,4000,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/21094904091544307294___SETEMBRO.pdf
2018,9,82,Ana Maria Pereira Hora (Ana Hora),Materiais de expediente e consumo,Escritório,1240,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/21094904091544307294___SETEMBRO.pdf
2018,10,82,Ana Maria Pereira Hora (Ana Hora),Alimentação do parlamentar e assessores,Alimentação,2090.06,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/3418905211549549180___ANA_HORA_OUTUBRO_2018.pdf
2018,10,82,Ana Maria Pereira Hora (Ana Hora),Serviços contábeis,Consultoria,4000,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/3418905211549549180___ANA_HORA_OUTUBRO_2018.pdf
2018,10,82,Ana Maria Pereira Hora (Ana Hora),Serviço de jornalista/marketing,Divulgação,4000,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/3418905211549549180___ANA_HORA_OUTUBRO_2018.pdf
2018,10,82,Ana Maria Pereira Hora (Ana Hora),Materiais de expediente e consumo,Escritório,310.83,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/3418905211549549180___ANA_HORA_OUTUBRO_2018.pdf
2018,11,82,Ana Maria Pereira Hora (Ana Hora),Veiculação de propaganda e publicidade,Divulgação,4000,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/3344017841549551641___ANA_HORA_NOVEMBRO_2018.pdf
2018,11,82,Ana Maria Pereira Hora (Ana Hora),"Produção de áudio e vídeo para rádio, jornal, TV e portal de internet",Divulgação,3500,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/3344017841549551641___ANA_HORA_NOVEMBRO_2018.pdf
2018,11,82,Ana Maria Pereira Hora (Ana Hora),Alimentação do parlamentar e assessores,Alimentação,2964.81,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/3344017841549551641___ANA_HORA_NOVEMBRO_2018.pdf
2018,11,82,Ana Maria Pereira Hora (Ana Hora),Despesas com estacionamentos,Locomoção,160,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/3344017841549551641___ANA_HORA_NOVEMBRO_2018.pdf
2018,12,82,Ana Maria Pereira Hora (Ana Hora),"Edição de jornais, livros, revistas e impressos gráficos",Divulgação,3500,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/1462042901549890463___ANA_HORA_DEZEMBRO_2018.pdf
2018,12,82,Ana Maria Pereira Hora (Ana Hora),"Reuniões, eventos e seminários",Eventos,2000,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/1462042901549890463___ANA_HORA_DEZEMBRO_2018.pdf
2018,12,82,Ana Maria Pereira Hora (Ana Hora),Alimentação do parlamentar e assessores,Alimentação,3030,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/1462042901549890463___ANA_HORA_DEZEMBRO_2018.pdf
2018,12,82,Ana Maria Pereira Hora (Ana Hora),Serviços prestados de elaboração de projetos,Consultoria,2000,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/1462042901549890463___ANA_HORA_DEZEMBRO_2018.pdf
2018,12,82,Ana Maria Pereira Hora (Ana Hora),Despesas com estacionamentos,Locomoção,160,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/1462042901549890463___ANA_HORA_DEZEMBRO_2018.pdf
2018,1,3,Anivaldo da Silva (Lobão),Veiculação de propaganda e publicidade,Divulgação,5400,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/17021874241544307546___JANEIRO.pdf
2018,1,3,Anivaldo da Silva (Lobão),Serviços de Telefonia Fixa ou Móvel,Telefonia,1991.2,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/17021874241544307546___JANEIRO.pdf
2018,1,3,Anivaldo da Silva (Lobão),Alimentação do parlamentar e assessores,Alimentação,2302.46,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/17021874241544307546___JANEIRO.pdf
2018,2,3,Anivaldo da Silva (Lobão),Serviços de Telefonia Fixa ou Móvel,Telefonia,1350.02,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/18790414361544307491___FEVEREIRO.pdf
2018,2,3,Anivaldo da Silva (Lobão),Alimentação do parlamentar e assessores,Alimentação,1827.38,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/18790414361544307491___FEVEREIRO.pdf
2018,2,3,Anivaldo da Silva (Lobão),Serviços contábeis,Consultoria,3000,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/18790414361544307491___FEVEREIRO.pdf
2018,2,3,Anivaldo da Silva (Lobão),Serviços jurídicos,Consultoria,3000,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/18790414361544307491___FEVEREIRO.pdf
2018,3,3,Anivaldo da Silva (Lobão),Veiculação de propaganda e publicidade,Divulgação,5080,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/12127716441544307837___MARCO.pdf
2018,3,3,Anivaldo da Silva (Lobão),Serviços de Telefonia Fixa ou Móvel,Telefonia,2274.79,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/12127716441544307837___MARCO.pdf
2018,3,3,Anivaldo da Silva (Lobão),Alimentação do parlamentar e assessores,Alimentação,2136.34,https://www.camarademaceio.al.gov.br/transparencia/portal/documentos/viap/12127716441544307837___MARCO.pdf
